demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	n_neutral	mean_loo_p	fraction_loo_p_lt_0_05	ks_uniform_p	calibration_note
ancient_eurasia_han_introgression	0.1	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	100	0.505	0.04	1	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	100	0.5244	0.03	0.252692757006	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	100	0.505	0.04	1	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	100	0.505	0.04	1	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	100	0.5062	0.04	0.999999999978	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	100	1	0	0	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	100	0.9245	0.04	4.08257555895e-110	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	100	0.7827	0.04	6.59944020923e-55	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	100	0.6521	0	3.81892642504e-18	descriptive only; LOO reuses the neutral bank and finite-null p-values are discrete
